artist,attack,cardClass,collectible,cost,dbfId,flavor,health,howToEarnGolden,id,mechanics,name,race,races,rarity,set,text,type,collectionText,referencedTags,spellSchool,elite,runeCost,targetingArrowText,armor,classes,heroPowerDbfId,hasDiamondSkin,durability,faction,spellDamage,overload,howToEarn,countAsCopyOfDbfId,techLevel,isMiniSet,hideStats,rarity_cn,total_stats,expected_stats,efficiency,class_cn
Sergey Tsvelykh,4.0,NEUTRAL,True,3,122500,巢母说紫色很有韵味。,3.0,可以在<i>大地的裂变</i>奖励路线中获得该奖励。,CATA_111,['BATTLECRY'],晦鳞巢母,DRAGON,['DRAGON'],RARE,CATACLYSM,<b>战吼：</b>如果你的手牌中有龙牌，复原两个法力水晶。,MINION,,,,,,,,,,,,,,,,,,,,稀有,7.0,6.177836264338427,1.1330827980028404,中立
Vika Yarova,1.0,DRUID,True,1,122966,计算费用的好习惯要从幼年期抓起。,1.0,,CATA_130,['TRIGGER_VISUAL'],炫晶小熊,BEAST,['BEAST'],COMMON,CATACLYSM,每当你消耗掉最后一个法力水晶，获得+1/+1。,MINION,,,,,,,,,,,,,,,,,,,,普通,2.0,3.1243967724653157,0.6401235648511739,德鲁伊
Stefan Bogdasarov,2.0,DRUID,True,2,122967,法力值这种东西，花掉就是赚到。,2.0,,CATA_131,,费伍德树人,,,RARE,CATACLYSM,<b>战吼：</b>获得一个临时的法力水晶。如果你在本牌在你手中时消耗过4点法力值，该法力水晶变为永久获得。<i>（还剩{0}点！）</i>@<b>战吼：</b>获得一个临时的法力水晶。如果你在本牌在你手中时消耗过4点法力值，该法力水晶变为永久获得。<i>（已经就绪！）</i>@<b>战吼：</b>获得一个临时的法力水晶。如果你在本牌在你手中时消耗过4点法力值，该法力水晶变为永久获得。,MINION,<b>战吼：</b>获得一个临时的法力水晶。如果你在本牌在你手中时消耗过4点法力值，该法力水晶变为永久获得。<i>（还剩{0}点！）</i>,['BATTLECRY'],,,,,,,,,,,,,,,,,,稀有,4.0,4.651116518401871,0.8600085558326122,德鲁伊
Jakub Kasper,4.0,DRUID,True,4,122968,护得越紧孵得越慢！,5.0,,CATA_132,,护巢龙,DRAGON,['DRAGON'],EPIC,CATACLYSM,<b>战吼：</b>获取两张3/3并具有<b>嘲讽</b>的雏龙。如果你在本牌在你手中时消耗过8点法力值，召唤这两条雏龙。<i>（还剩{0}点！）</i>@<b>战吼：</b>获取两张3/3并具有<b>嘲讽</b>的雏龙。如果你在本牌在你手中时消耗过8点法力值，召唤这两条雏龙。<i>（已经就绪！）</i>@<b>战吼：</b>获取两张3/3并具有<b>嘲讽</b>的雏龙。如果你在本牌在你手中时消耗过8点法力值，召唤这两条雏龙。,MINION,<b>战吼：</b>获取两张3/3并具有<b>嘲讽</b>的雏龙。如果你在本牌在你手中时消耗过8点法力值，召唤这两条雏龙。<i>（还剩{0}点！）</i>,"['BATTLECRY', 'TAUNT']",,,,,,,,,,,,,,,,,,史诗,9.0,7.704556010274983,1.1681399924924138,德鲁伊
Kati Sarin,4.0,DRUID,True,5,122970,跟~随~灵龙的踪迹！,5.0,,CATA_133,['TRIGGER_VISUAL'],彩翼灵龙,DRAGON,['DRAGON'],COMMON,CATACLYSM,<b>扰魔</b>。在你的回合结束时，使你的其他随从获得+1/+1。,MINION,,['ELUSIVE'],,,,,,,,,,,,,,,,,,普通,9.0,9.231275756211538,0.9749465011858283,德鲁伊
Todd Harris,0.0,DRUID,True,6,122976,危急时刻，梦境之龙麦琳瑟拉带领木喉熊怪举行了仪式，唤起了费伍德森林中最古老的树木。,5.0,,CATA_139,"['COLOSSAL', 'TRIGGER_VISUAL']",柳牙,,,LEGENDARY,CATACLYSM,"<b>巨型+4</b>
在柳牙的腿获得属性值后，本随从也会
获得。",MINION,,,,True,,,,,,,,,,,,,,,,传说,5.0,10.757995502148095,0.4647705977383639,德鲁伊
Vika Yarova,4.0,DRUID,True,8,122978,我在一回合中消耗的法力值超乎你的梦想！,12.0,,CATA_140,,梦境之龙麦琳瑟拉,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,<b>战吼：</b>用随机的龙牌填满你的手牌。如果你在本牌在你手中时消耗过25点法力值，这些龙牌的法力值消耗为（1）点。<i>（还剩{0}点！）</i>@<b>战吼：</b>用随机的龙牌填满你的手牌。如果你在本牌在你手中时消耗过25点法力值，这些龙牌的法力值消耗为（1）点。<i>（已经就绪！）</i>@<b>战吼：</b>用随机的龙牌填满你的手牌。如果你在本牌在你手中时消耗过25点法力值，这些龙牌的法力值消耗为（1）点。,MINION,<b>战吼：</b>用随机的龙牌填满你的手牌。如果你在本牌在你手中时消耗过25点法力值，这些龙牌的法力值消耗为（1）点。<i>（还剩{0}点！）</i>,['BATTLECRY'],,True,,,,,,,,,,,,,,,,传说,16.0,13.811434994021205,1.1584603632371435,德鲁伊
Alex Horley Orlandelli,8.0,WARRIOR,True,8,124110,炎魔之王和死亡之翼迅速打了个火热。能亲眼看见艾泽拉斯彻底烧毁，他早就等不及了。,8.0,,CATA_150,"['COLOSSAL', 'TRIGGER_VISUAL']",拉格纳罗斯，绝世烈火,ELEMENTAL,['ELEMENTAL'],LEGENDARY,CATACLYSM,"<b>巨型+2</b>
在你的回合结束时，触发你的随从的
<b>亡语</b>。",MINION,,['DEATHRATTLE'],,True,,,,,,,,,,,,,,,,传说,16.0,13.811434994021205,1.1584603632371435,战士
James Ryman,8.0,DEMONHUNTER,True,8,124116,艾萨拉一生从不愿自认下风——哪怕是面对死亡之翼。但她也从不拒绝与强者达成交易。,8.0,,CATA_151,"['AURA', 'COLOSSAL']",艾萨拉，海洋之主,NAGA,['NAGA'],LEGENDARY,CATACLYSM,"<b>巨型+2</b>
你的英雄拥有<b>风怒</b>。",MINION,,['WINDFURY'],,True,,,,,,,,,,,,,,,,传说,16.0,13.811434994021205,1.1584603632371435,恶魔猎手
Slawomir Maniak,2.0,SHAMAN,True,8,125442,死亡之翼向风领主许下了自由与力量。于是奥拉基尔在奥丹姆上空召来了巨大的风暴，亲率部队攻向了泰坦的要塞。,8.0,,CATA_153,"['COLOSSAL', 'RUSH', 'WINDFURY']",奥拉基尔，风暴之主,ELEMENTAL,['ELEMENTAL'],LEGENDARY,CATACLYSM,"<b>巨型+2
<b>突袭。</b>风怒。</b><b>战吼：</b>获取2张法力值消耗等同于本随从攻击力的随从牌，这两张牌的法力值消耗为（1）点。",MINION,,['BATTLECRY'],,True,,,,,,,,,,,,,,,,传说,10.0,13.811434994021205,0.7240377270232147,萨满
Alex Stone,5.0,ROGUE,True,6,125450,纵然希奈丝特拉已对旧日的爱侣再无感情，但她仍愿与他携手共事——只要她的暮光龙群能最终统治残存的艾泽拉斯。,5.0,,CATA_154,"['AURA', 'COLOSSAL']",希奈丝特拉,DRAGON,['DRAGON'],LEGENDARY,CATACLYSM,"<b>巨型+2</b>
你的其他职业的法术会施放两次。",MINION,,,,True,,,,,,,,,,,,,,,,传说,10.0,10.757995502148095,0.9295411954767278,潜行者
Kevin Sidharta,3.0,DEATHKNIGHT,True,9,124138,奥妮克希亚被她亲爱的哥哥从坟墓里拉了起来。你还指望她说谢谢吗？,6.0,,CATA_155,"['COLOSSAL', 'TRIGGER_VISUAL']",复活的奥妮克希亚,DRAGON,"['UNDEAD', 'DRAGON']",LEGENDARY,CATACLYSM,"<b>巨型+2</b>
当你的英雄在你的回合即将失去生命值时，改为获得等量的生命值上限。",MINION,,,,True,"{'blood': 2, 'frost': 0, 'unholy': 0}",,,,,,,,,,,,,,,传说,9.0,15.338154739957762,0.5867720174027129,
AJ Nazzaro,4.0,ROGUE,True,3,123549,就是紧贴在你后方2步还开着10000瓦大灯的那种人。,1.0,,CATA_158,"['DEATHRATTLE', 'STEALTH']",癫狂的追随者,,,EPIC,CATACLYSM,<b>潜行</b>。<b>亡语：</b><b>兆示</b>{0}。,MINION,,,,,,,,,,,,,,,,,,,,史诗,5.0,6.177836264338427,0.8093448557163146,潜行者
Zoltan Boros,4.0,WARRIOR,True,4,123552,如果是我站在岩浆里，我也灼急。,3.0,,CATA_160,['BATTLECRY'],灼烧掠夺者,DRAGON,['DRAGON'],RARE,CATACLYSM,<b>战吼：</b><b>兆示</b>{0}，并使该士兵获得<b>突袭</b>。,MINION,,['RUSH'],,,,,,,,,,,,,,,,,,稀有,7.0,7.704556010274983,0.9085533274940997,战士
Luca Zontini,3.0,DEATHKNIGHT,True,3,123547,它母亲超爱它这张脸。,3.0,,CATA_161,['BATTLECRY'],残恶梦魇,BEAST,['BEAST'],EPIC,CATACLYSM,<b>战吼：</b>使你手牌中或战场上的一个随从获得等同于本随从攻击力的攻击力。,MINION,,,,,,选择你手牌中或战场上的一个随从。,,,,,,,,,,,,,,史诗,6.0,6.177836264338427,0.9712138268595775,
