artist,attack,cardClass,collectible,cost,dbfId,flavor,health,howToEarnGolden,id,mechanics,name,race,races,rarity,set,text,type,collectionText,referencedTags,spellSchool,elite,runeCost,targetingArrowText,armor,classes,heroPowerDbfId,hasDiamondSkin,durability,faction,spellDamage,overload,howToEarn,countAsCopyOfDbfId,techLevel,isMiniSet,hideStats,rarity_cn
Sergey Tsvelykh,4.0,NEUTRAL,True,3,122500,巢母说紫色很有韵味。,3.0,可以在<i>大地的裂变</i>奖励路线中获得该奖励。,CATA_111,['BATTLECRY'],晦鳞巢母,DRAGON,['DRAGON'],RARE,CATACLYSM,<b>战吼：</b>如果你的手牌中有龙牌，复原两个法力水晶。,MINION,,,,,,,,,,,,,,,,,,,,稀有
Vika Yarova,1.0,DRUID,True,1,122966,计算费用的好习惯要从幼年期抓起。,1.0,,CATA_130,['TRIGGER_VISUAL'],炫晶小熊,BEAST,['BEAST'],COMMON,CATACLYSM,每当你消耗掉最后一个法力水晶，获得+1/+1。,MINION,,,,,,,,,,,,,,,,,,,,普通
Stefan Bogdasarov,2.0,DRUID,True,2,122967,法力值这种东西，花掉就是赚到。,2.0,,CATA_131,,费伍德树人,,,RARE,CATACLYSM,<b>战吼：</b>获得一个临时的法力水晶。如果你在本牌在你手中时消耗过4点法力值，该法力水晶变为永久获得。<i>（还剩{0}点！）</i>@<b>战吼：</b>获得一个临时的法力水晶。如果你在本牌在你手中时消耗过4点法力值，该法力水晶变为永久获得。<i>（已经就绪！）</i>@<b>战吼：</b>获得一个临时的法力水晶。如果你在本牌在你手中时消耗过4点法力值，该法力水晶变为永久获得。,MINION,<b>战吼：</b>获得一个临时的法力水晶。如果你在本牌在你手中时消耗过4点法力值，该法力水晶变为永久获得。<i>（还剩{0}点！）</i>,['BATTLECRY'],,,,,,,,,,,,,,,,,,稀有
Jakub Kasper,4.0,DRUID,True,4,122968,护得越紧孵得越慢！,5.0,,CATA_132,,护巢龙,DRAGON,['DRAGON'],EPIC,CATACLYSM,<b>战吼：</b>获取两张3/3并具有<b>嘲讽</b>的雏龙。如果你在本牌在你手中时消耗过8点法力值，召唤这两条雏龙。<i>（还剩{0}点！）</i>@<b>战吼：</b>获取两张3/3并具有<b>嘲讽</b>的雏龙。如果你在本牌在你手中时消耗过8点法力值，召唤这两条雏龙。<i>（已经就绪！）</i>@<b>战吼：</b>获取两张3/3并具有<b>嘲讽</b>的雏龙。如果你在本牌在你手中时消耗过8点法力值，召唤这两条雏龙。,MINION,<b>战吼：</b>获取两张3/3并具有<b>嘲讽</b>的雏龙。如果你在本牌在你手中时消耗过8点法力值，召唤这两条雏龙。<i>（还剩{0}点！）</i>,"['BATTLECRY', 'TAUNT']",,,,,,,,,,,,,,,,,,史诗
Kati Sarin,4.0,DRUID,True,5,122970,跟~随~灵龙的踪迹！,5.0,,CATA_133,['TRIGGER_VISUAL'],彩翼灵龙,DRAGON,['DRAGON'],COMMON,CATACLYSM,<b>扰魔</b>。在你的回合结束时，使你的其他随从获得+1/+1。,MINION,,['ELUSIVE'],,,,,,,,,,,,,,,,,,普通
Bima Kusuma,,DRUID,True,4,122971,打光了中间的牌后，我们又走回了这个怪圈。,,可以在<i>大地的裂变</i>奖励路线中获得该奖励。,CATA_134,,荒林怪圈,,,RARE,CATACLYSM,"<b>裂变</b>
召唤两个2/2的树人。使你的随从获得“<b>亡语：</b>召唤一个2/2的树人。”122972召唤两个2/2的树人。使你的随从获得“<b>亡语：</b>召唤一个2/2的树人。”",SPELL,,['DEATHRATTLE'],NATURE,,,,,,,,,,,,,,,,,稀有
Brian Adriel,,DRUID,True,2,123023,苔束缚啦！,,,CATA_135,,苔缚术,,,RARE,CATACLYSM,召唤两个1/2的魔像。消耗你的所有法力值，每消耗一点法力值，使其获得+1/+1。,SPELL,,,NATURE,,,,,,,,,,,,,,,,,稀有
Tee Fuyuan,,DRUID,True,1,122975,海洋之主本以为胜利近在咫尺，突然发觉自己对上了一位始料未及的对手——如果她当初能更在意自己的臣民，她也有机会变成对手那样的英雄。,,,CATA_136,,艾萨拉的胜利,,,EPIC,CATACLYSM,随机将5张法力值消耗大于或等于（8）点的随从牌洗入你的牌库，其属性值翻倍。,SPELL,,,ARCANE,,,,,,,,,,,,,,,,,史诗
Milica Celikovic,,DRUID,True,2,122988,这是德鲁伊从某间邪恶的图书馆学来的。,,,CATA_138,,森林赠礼,,,COMMON,CATACLYSM,你每控制一个随从，使一个友方随从获得+1/+1。,SPELL,,,NATURE,,,,,,,,,,,,,,,,,普通
Todd Harris,0.0,DRUID,True,6,122976,危急时刻，梦境之龙麦琳瑟拉带领木喉熊怪举行了仪式，唤起了费伍德森林中最古老的树木。,5.0,,CATA_139,"['COLOSSAL', 'TRIGGER_VISUAL']",柳牙,,,LEGENDARY,CATACLYSM,"<b>巨型+4</b>
在柳牙的腿获得属性值后，本随从也会
获得。",MINION,,,,True,,,,,,,,,,,,,,,,传说
